element,paper_section,source_data_file,source_report,source_script,last_generated,values_verified,discrepancies,current
Table I,Section I.A — Asset Universe,data/processed/investable_returns_weekly.parquet,data/README_DATA.md,scripts/01_validate_and_build_dataset.py,2026-05-08,yes,none,yes
Table II,Section IV.A — Panel A Performance,data/processed/panel_a_returns.parquet,reports/panels/panel_a_long_horizon_performance.csv,scripts/06_panel_a_long_horizon.py,2026-05-09,yes,none,yes
Table III,Section IV.B — Panel A Statistical Tests,data/processed/panel_a_returns.parquet,reports/panels/panel_a_statistical_tests.csv,scripts/08_panel_statistical_tests.py,2026-05-09,yes,none,yes
Table IV,Section V.A — Panel B Performance,data/processed/panel_b_returns.parquet,reports/panels/panel_b_regime_oos_performance.csv,scripts/07_panel_b_regime_oos.py,2026-05-09,yes,none,yes
Table V,Section V.A — Panel B TC sensitivity and turnover,data/processed/panel_b_returns.parquet,reports/panels/panel_b_regime_oos_tc_sensitivity.csv,scripts/07_panel_b_regime_oos.py,2026-05-09,yes,none,yes
Table VI,Section V.A — Panel B Statistical Tests,data/processed/panel_b_returns.parquet,reports/panels/panel_b_statistical_tests.csv,scripts/08_panel_statistical_tests.py,2026-05-09,yes,none,yes
Table VII,Section V.B — TC-aware and Regime-constrained CVaR,multiple parquets under data/processed/model_improvement/tc_aware_cvar/ and regime_constraints/,reports/model_improvement/tc_aware_cvar/performance.csv + tc_sensitivity.csv + turnover_summary.csv + regime_constraints/performance.csv + tc_sensitivity.csv,scripts/14_tc_aware_cvar_experiment.py + scripts/15_regime_constraints_experiment.py,2026-05-12,yes,Static CVaR uses full-history grid (Sharpe 0.553) vs Panel B canonical 0.530; scope note added to caption,yes
Table VIII,Section VI — FI-Expanded Universe,data/processed/panel_a_returns_fi_expanded.parquet + panel_b_returns_fi_expanded.parquet,reports/fi_expanded/panel_a_performance_fi_expanded.csv + panel_b_performance_fi_expanded.csv + panel_b_tc_sensitivity_fi_expanded.csv,scripts/17_panel_a_fi_expanded.py + scripts/18_panel_b_fi_expanded.py,2026-05-10,yes,none,yes
Table IX,Section VII — Robustness Summary,multiple — see rows 1-5 below,reports/regimes/hicp_lag6_robustness.md + reports/model_improvement/* CSVs,scripts/10 + 11 + 12 + 13 + 17/18,2026-05-12,yes (numbers); see narrative note for HICP row,Script 10's auto-conclusion contradicts paper text (P1 narrative inconsistency),yes
Table IX row HICP lag 6 weeks,Section VII.A,data/processed/regime_labels_wf_156_hicp_lag6.parquet,reports/panels/panel_b_regime_oos_performance_hicp_lag6.csv + reports/regimes/hicp_lag6_robustness.md,scripts/10_hicp_lag6_robustness.py,2026-05-09,yes (55.12% label agreement; Sharpe diffs up to +0.068),script narrative says lag6 should be promoted; paper says within bootstrap noise,yes
Table IX row ZEW feature swap,Section VII.B,data/processed/model_improvement/regime_labels_wf_156_zew_swap.parquet,reports/model_improvement/panel_b_performance_zew_swap.csv,scripts/11_zew_swap_experiment.py,2026-05-10,yes (47.93% label agreement),none,yes
Table IX row Rebalance frequency,Section VII.C,data/processed/model_improvement/rebalance_frequency/*.csv,reports/model_improvement/rebalance_frequency/*.csv,scripts/12_rebalance_frequency_experiment.py,2026-05-10,yes,freq=1 excluded due to sandbox timeout,yes
Table IX row Turnover smoothing (EWA),Section VII.D,data/processed/model_improvement/ (no separate parquets),reports/model_improvement/turnover_smoothing/zew_smooth50_*.csv,scripts/13_turnover_smoothing_experiment.py,2026-05-11,yes,none,yes
Table IX row FI-expanded universe,Section VII.E (also Section VI),see Table VIII rows,reports/fi_expanded/*.csv,scripts/16-18,2026-05-10,yes,none,yes
Table F.1,Appendix F — Descriptive Stats,data/processed/investable_returns_weekly.parquet,paper/tables/appendix_f_descriptive_stats.csv,scripts/07_figures/generate_paper_figures.py:descriptive_stats(),2026-05-12,yes,none — but generator has hardcoded session path,yes
Table F.2,Appendix F — Correlations,data/processed/investable_returns_weekly.parquet,paper/tables/appendix_f_correlations.csv,scripts/07_figures/generate_paper_figures.py:descriptive_stats(),2026-05-12,yes,none — but generator has hardcoded session path,yes
Figure 1,Regime timeline (full sample),data/processed/regime_labels_full.parquet,reports/figures/full_sample_regime_timeline.png,scripts/09_regime_timeline_figure.py,2026-05-12,yes (figure renders),"P1 — regime_labels_full.parquet uses NON-canonical state ordering (state 0=highest VIX); figure caption documents this but no other paper element uses this convention; parquet is orphaned (no active producer)",yes
Figure 2,Cumulative wealth Panel B,data/processed/panel_b_returns.parquet,paper/figures/figure_2_cumulative_wealth_panel_b.png,scripts/07_figures/generate_paper_figures.py:fig2,2026-05-12,yes,generator uses hardcoded session path,yes
Figure 3,Turnover vs Net Sharpe scatter,multiple CSVs,paper/figures/figure_3_turnover_vs_net_sharpe.png,scripts/07_figures/generate_paper_figures.py:fig3,2026-05-12,"yes — 11 points verified against panel_b_regime_oos_tc_sensitivity.csv, tc_aware_cvar/tc_sensitivity.csv, regime_constraints/tc_sensitivity.csv",P1 — datapoints HARDCODED in script (lines 123-139); currently match CSVs but desync risk on future rerun,yes
Figure 4,Average weights baseline vs FI,reports/fi_expanded/fi_expanded_comparison.md (aggregate),paper/figures/figure_4_static_cvar_weights_baseline_vs_fi.png,scripts/07_figures/generate_paper_figures.py:fig4,2026-05-12,partial — bar heights hardcoded from fi_expanded_comparison.md,P1 — bar heights HARDCODED in script (lines 196-197); desync risk,yes
Figure 5,Drawdown baseline vs FI,data/processed/panel_b_returns.parquet + panel_b_returns_fi_expanded.parquet,paper/figures/figure_5_drawdown_baseline_vs_fi.png,scripts/07_figures/generate_paper_figures.py:fig5,2026-05-12,yes (figure recomputes drawdowns from parquets),generator uses hardcoded session path,yes
