id,severity,category,file,line_or_location,description,why_it_matters,recommended_fix,estimated_effort_min,changes_empirical_results,requires_rerun
P1-01,P1,reproducibility,scripts/07_figures/generate_paper_figures.py,16,"Hardcoded session path: PAPER = '/sessions/friendly-keen-curie/mnt/PAPER'","Figure-generation script fails in any new session or on the user's machine; Figures 2-5 and Appendix F.1/F.2 cannot be regenerated.","Replace with PAPER = str(Path(__file__).resolve().parents[2])",5,no,no
P1-02,P1,reproducibility,paper/build_paper_v8.js,28,"Hardcoded session path: FIG_DIR = '/sessions/friendly-keen-curie/mnt/PAPER/paper/figures/'","Paper v8 docx cannot be rebuilt outside the original session.","Replace with const FIG_DIR = path.resolve(__dirname, 'figures') + '/'",5,no,no
P1-03,P1,methodology,scripts/09_regime_timeline_figure.py,31-45,"Figure 1 hard-codes REGIME_LABELS as {0: 'High-Stress',...,3: 'Bull/Low-Vol'} which matches regime_labels_full.parquet (non-canonical) but is opposite of every other paper element (Tables IV-VIII, METHODOLOGY.md, model_backtest_summary.md which use 0=Low-Vol, 3=Stress).","Reader confusion; future regeneration of regime_labels_full.parquet would silently invert the figure.","Regenerate regime_labels_full.parquet with canonical permutation (state 0 = lowest VIX) AND update REGIME_LABELS dict accordingly. OR document the inversion prominently.",30,no (figure already matches its parquet),partial (Figure 1 only)
P1-04,P1,reports,scripts/07_panel_b_regime_oos.py,381-383,"Hardcoded summary narrative: '(~100-160% annually) vs static CVaR (~10%)' — actual values are 225.75% / 21.40%","Every rerun of script 07 overwrites panel_b_regime_oos_summary.md with wrong numbers; readers of the auto-generated MD see wrong text.","Parameterise narrative on g0.loc[...,'ann_to_pct'] values pulled from the CSV.",15,no,no
P1-05,P1,methodology,src/optimization/cvar.py,39,"CVaRConfig.max_weight default = 0.35; methodology and every active script use 0.25","Future callers of solve_cvar without explicit config would silently relax the cap to 35%.","Change default to 0.25 OR add a runtime assert.",2,no,no
P1-06,P1,reports,reports/regimes/hicp_lag6_robustness.md,(auto-generated by script 10),"Auto-generated conclusion lands on 'unstable' branch ('promote lag6 variant') because conclusion_stable = max_regime_diff < 0.02 but actual max_regime_diff = +0.068. This contradicts the paper's Section VII.A stance.","Internal narrative inconsistency. The paper says 'main conclusion unchanged'; the auto-generated MD says 'promote'.","Edit scripts/10_hicp_lag6_robustness.py:618 threshold to a more appropriate value (e.g. 0.10 or a bootstrap-CI-based threshold).",15,no,no
P1-07,P1,paper,paper/drafts/When Regimes Do Not Pay.pdf,(file),"Named PDF is BYTE-IDENTICAL to paper_draft_JF_style_v7_CLEAN.pdf (MD5 bed0e01899a31724). It is the v7 build under a friendly name, NOT a v8 build.","A reviewer who downloads the named PDF gets the v7 draft instead of v8.","Delete OR regenerate as a v8 build with the friendly name.",2,no,no
P1-08,P1,reproducibility,scripts/07_figures/generate_paper_figures.py,123-139,"Figure 3 datapoints are HARD-CODED in the script (11 (TO%, Sharpe) tuples) rather than read from CSV","All 11 currently match source CSVs but any future rerun of underlying experiments would silently desync Figure 3.","Refactor fig3() to load values from panel_b_regime_oos_tc_sensitivity.csv, tc_aware_cvar/tc_sensitivity.csv, regime_constraints/tc_sensitivity.csv.",60,no,no
P1-09,P1,reproducibility,scripts/07_figures/generate_paper_figures.py,196-197,"Figure 4 bar heights are HARD-CODED in the script","Future regeneration risk; same as P1-08.","Refactor fig4() to compute average weights from weights_static_cvar_baseline.parquet (baseline) and panel-B weights from the FI-expanded universe.",45,no,no
P1-10,P1,methodology,src/optimization/cvar.py,218-331,"Dead code: run_cvar_backtest() still encodes the OLD pipeline (full-history equal-weight fallback, embedded TC logic). Not called by any active script.","Future caller could re-introduce stale methodology silently.","Delete the function OR add a deprecation warning at module import.",10,no,no
P2-01,P2,reports,reports/final/model_backtest_summary.md,80-85,"State VIX z-score table claims State 0=-0.96, ..., State 3=+1.85 but actual WF-canonical state means are State 0=-0.71, ..., State 3=+1.02","Descriptive table presents wrong numbers attributed to the WF labels.","Update with WF-canonical means: 0=-0.71, 1=-0.40, 2=+0.17, 3=+1.02.",5,no,no
P2-02,P2,reports,reports/final/model_backtest_summary.md,192-198,"Three stale paths: reports/statistical_tests.md, reports/macro_release_date_risk_audit.md, data/processed/canonical_backtest_returns.parquet","Broken links to non-existent or archived files.","Update to reports/panels/panel_{a,b}_statistical_tests.md, reports/regimes/macro_release_date_risk_audit.md; remove canonical_backtest reference.",5,no,no
P2-03,P2,docs,docs/ACTIVE_OUTPUTS.md,(missing),"Does not flag regime_labels_full.parquet as orphan (no active producer). It is used by Figure 1.","User running RUN_ORDER from a clean state cannot regenerate Figure 1.","Add note in 'Archived (do not cite or use)' section or move regime_labels_full to data/static/ with documentation.",10,no,no
P2-04,P2,reproducibility,paper/build_paper_v8.js,(top),"No package.json, no pinned docx version, no node_modules in repo","External rebuild requires guessing 'npm install docx' version.","Add paper/package.json with pinned docx@^9 (or whatever version was used).",10,no,no
P2-05,P2,src,src/models/hmm.py,13-14,"Module docstring says 'Usage: python scripts/02_fit_hmm.py' — this is the ARCHIVED script name","Misleading docstring; the active script is 02_hmm_walkforward_156.py.","Update docstring.",2,no,no
P2-06,P2,src,src/data/reporting.py,30-40,"write_validation_reports writes to config.reports_dir (= reports/) — these auto-generated CSVs/MDs would land at top-level reports/ when script 01 reruns; their current home is reports/archive/ and reports/data/","Pollutes the active reports directory on next data pipeline rerun.","Either point writes to reports/archive/quality/ or to reports/data/. Add explicit path constants.",15,no,no
P2-07,P2,security,docs/archive/MIGRATION.md,18,"Contains Spanish-language author preference / biographical info","If repo goes public, this archive doc leaks author preferences.","Delete the file or anonymise before public release.",5,no,no
P2-08,P2,security,scripts/archive/generate_data_inventory_yaml*.py,5-7,"3 archived scripts contain ROOT = Path(r'c:/Users/Jorge/OneDrive - UFV/BAINF/PAPER')","Personal Windows path in archive scripts.","Delete archived inventory generators or replace with relative path.",5,no,no
P2-09,P2,security,.gitignore,(missing),".gitignore does NOT exclude data/raw/, data/investable_assets/, data/regime_variables/","For a public release, LSEG-licensed raw xlsx would be uploaded to GitHub.","Add the three directories to .gitignore (only for public-release config).",2,no,no
